year,region,crop,district,area_ha,production_ton,yield_kgha,source
2024,Костанайская область,Подсолнечник,Сарыкольский,12303.0,16909.529999999995,1370.0,stat_gov_kz_real
2025,Костанайская область,Подсолнечник,Сарыкольский,13545.0,24776.03,1830.0,stat_gov_kz_real
1990,Костанайская область,Пшеница,Сарыкольский,187800.0,291120.0,1550.0,stat_gov_kz_real
1991,Костанайская область,Пшеница,Сарыкольский,179700.0,110979.99999999999,620.0,stat_gov_kz_real
1992,Костанайская область,Пшеница,Сарыкольский,174900.0,279440.0,1600.0,stat_gov_kz_real
1993,Костанайская область,Пшеница,Сарыкольский,142700.0,131220.0,919.9999999999999,stat_gov_kz_real
1994,Костанайская область,Пшеница,Сарыкольский,138700.0,145450.0,1050.0,stat_gov_kz_real
1995,Костанайская область,Пшеница,Сарыкольский,145800.0,69720.0,480.0,stat_gov_kz_real
1996,Костанайская область,Пшеница,Сарыкольский,151200.0,158430.0,1050.0,stat_gov_kz_real
1997,Костанайская область,Пшеница,Сарыкольский,216100.0,220769.99999999997,1019.9999999999999,stat_gov_kz_real
1998,Костанайская область,Пшеница,Сарыкольский,187500.0,98690.0,530.0,stat_gov_kz_real
1999,Костанайская область,Пшеница,Сарыкольский,187200.0,322290.0,1720.0,stat_gov_kz_real
2000,Костанайская область,Пшеница,Сарыкольский,235300.0,242680.0,1070.0,stat_gov_kz_real
2001,Костанайская область,Пшеница,Сарыкольский,193000.0,239300.0,1240.0,stat_gov_kz_real
2002,Костанайская область,Пшеница,Сарыкольский,212200.0,257649.99999999997,1210.0,stat_gov_kz_real
2003,Костанайская область,Пшеница,Сарыкольский,212300.0,232019.99999999997,1090.0,stat_gov_kz_real
2004,Костанайская область,Пшеница,Сарыкольский,216000.0,182780.0,850.0,stat_gov_kz_real
2005,Костанайская область,Пшеница,Сарыкольский,258200.0,323659.99999999994,1250.0,stat_gov_kz_real
2006,Костанайская область,Пшеница,Сарыкольский,260600.00000000003,457700.0,1760.0000000000002,stat_gov_kz_real
2007,Костанайская область,Пшеница,Сарыкольский,292900.0,516950.00000000006,1760.0000000000002,stat_gov_kz_real
2008,Костанайская область,Пшеница,Сарыкольский,299800.0,410750.0,1370.0,stat_gov_kz_real
2009,Костанайская область,Пшеница,Сарыкольский,325400.0,484590.0,1490.0,stat_gov_kz_real
2010,Костанайская область,Пшеница,Сарыкольский,297800.0,221260.0,740.0,stat_gov_kz_real
2011,Костанайская область,Пшеница,Сарыкольский,306200.0,660650.0,2160.0,stat_gov_kz_real
2012,Костанайская область,Пшеница,Сарыкольский,294900.0,185859.99999999997,640.0,stat_gov_kz_real
2013,Костанайская область,Пшеница,Сарыкольский,324300.0,385600.0,1188.98,stat_gov_kz_real
2014,Костанайская область,Пшеница,Сарыкольский,300900.0,370250.0,1237.27,stat_gov_kz_real
2015,Костанайская область,Пшеница,Сарыкольский,258800.0,377210.0,1457.27,stat_gov_kz_real
2016,Костанайская область,Пшеница,Сарыкольский,287469.3,351090.18,1221.3100000000002,stat_gov_kz_real
2017,Костанайская область,Пшеница,Сарыкольский,263700.0,354150.0,1340.0,stat_gov_kz_real
2018,Костанайская область,Пшеница,Сарыкольский,240700.0,320550.0,1331.47,stat_gov_kz_real
2019,Костанайская область,Пшеница,Сарыкольский,217300.0,263380.0,1212.06,stat_gov_kz_real
2020,Костанайская область,Пшеница,Сарыкольский,245300.0,348550.0,1420.0,stat_gov_kz_real
2021,Костанайская область,Пшеница,Сарыкольский,266500.0,321880.0,1210.0,stat_gov_kz_real
2022,Костанайская область,Пшеница,Сарыкольский,257300.0,552740.0,2150.0,stat_gov_kz_real
2023,Костанайская область,Пшеница,Сарыкольский,259781.40000000002,341427.26000000007,1330.0,stat_gov_kz_real
2024,Костанайская область,Пшеница,Сарыкольский,259149.0,482498.67000000004,1860.0000000000002,stat_gov_kz_real
2025,Костанайская область,Пшеница,Сарыкольский,220106.4,475361.99999999994,2160.0,stat_gov_kz_real
1990,Костанайская область,Ячмень,Сарыкольский,83300.0,161400.0,1939.9999999999998,stat_gov_kz_real
1991,Костанайская область,Ячмень,Сарыкольский,73800.0,45420.0,620.0,stat_gov_kz_real
1992,Костанайская область,Ячмень,Сарыкольский,77400.0,169030.0,2180.0,stat_gov_kz_real
1993,Костанайская область,Ячмень,Сарыкольский,94900.0,120080.0,1260.0,stat_gov_kz_real
1994,Костанайская область,Ячмень,Сарыкольский,93400.0,140300.0,1500.0,stat_gov_kz_real
1995,Костанайская область,Ячмень,Сарыкольский,66900.0,20630.0,310.0,stat_gov_kz_real
1996,Костанайская область,Ячмень,Сарыкольский,43100.0,53470.0,1240.0,stat_gov_kz_real
1997,Костанайская область,Ячмень,Сарыкольский,33800.0,17430.0,520.0,stat_gov_kz_real
1998,Костанайская область,Ячмень,Сарыкольский,19800.0,8550.0,430.0,stat_gov_kz_real
1999,Костанайская область,Ячмень,Сарыкольский,24300.0,21630.0,1130.0,stat_gov_kz_real
2000,Костанайская область,Ячмень,Сарыкольский,16800.0,9170.0,620.0,stat_gov_kz_real
2001,Костанайская область,Ячмень,Сарыкольский,22300.0,29980.0,1350.0,stat_gov_kz_real
2002,Костанайская область,Ячмень,Сарыкольский,8500.0,8750.0,1030.0,stat_gov_kz_real
2003,Костанайская область,Ячмень,Сарыкольский,9200.0,13070.0,1420.0,stat_gov_kz_real
2004,Костанайская область,Ячмень,Сарыкольский,7800.0,5420.0,700.0,stat_gov_kz_real
